member,name,policy,lr,gamma,batch_size,eps_start,eps_end,eps_fraction,best_eval_reward,train_mean_last20,episodes_logged,train_time_s,seed,hypothesis,observed
Fidele Ndihokubwayo,Exp07_BestTuned_BiggerBatch,CnnPolicy,0.0002,0.99,128,1.0,0.01,0.15,12.2,1.16,0,0.0,42,A higher-batch version of the tuned CNN; expected to improve consistency and precision.,Top tuned CNN outperformed the baseline noticeably. It balanced learning speed and stability well.
Fidele Ndihokubwayo,Exp10_ChampionCandidate_CNN,CnnPolicy,0.0002,0.995,128,1.0,0.01,0.12,6.8,1.2,0,0.0,42,"Main high-performance candidate aimed at stronger positioning, cleaner attacks, and better score margins.","Champion candidate outperformed the baseline noticeably. It targets stronger movement, cleaner attacks, and higher winning margins."
Fidele Ndihokubwayo,Exp01_BestTuned_TopCNN,CnnPolicy,0.00025,0.99,64,1.0,0.01,0.15,1.8,-4.46,0,0.0,42,Top prior CNN performer; strong balance of learning speed and stability.,Top tuned CNN performed similarly to the baseline. It balanced learning speed and stability well.
Fidele Ndihokubwayo,Exp02_LargeBatch_TopCNN,CnnPolicy,0.0001,0.99,128,1.0,0.01,0.1,-0.3,0.11,0,0.0,42,Top large-batch performer; expected smoother updates and more consistent policy improvement.,Larger batch size performed similarly to the baseline. It likely produced smoother updates and better punch consistency.
Fidele Ndihokubwayo,Exp03_MLPBaseline_Reference,MlpPolicy,0.0001,0.99,64,1.0,0.05,0.1,-3.3,-25.35,0,0.0,42,Reference MLP comparison run for image observations.,"MLP comparison run underperformed the baseline. It is useful for architecture comparison, but CNN remains the stronger image-based choice for Boxing."
Fidele Ndihokubwayo,Exp06_BestTuned_LongExplore,CnnPolicy,0.00025,0.99,64,1.0,0.02,0.2,-5.9,-3.23,0,0.0,42,Longer exploration may improve positioning and tactical movement before exploitation.,Longer exploration underperformed the baseline. It gave the agent more time to discover positioning and timing patterns.
Fidele Ndihokubwayo,Exp08_AggressivePressure_CNN,CnnPolicy,0.00015,0.995,64,1.0,0.01,0.1,-7.4,-3.38,0,0.0,42,Targets stronger pressure and more direct attacking with stable long-term credit assignment.,"Aggressive pressure tuning underperformed the baseline. It was designed to improve attacks, pressure, and dominance."
Fidele Ndihokubwayo,Exp09_ControlledFastExploit,CnnPolicy,0.0002,0.99,64,1.0,0.01,0.08,-7.4,-3.69,0,0.0,42,A more decisive exploitation schedule intended to improve dominance once useful behavior appears.,"Faster exploitation underperformed the baseline. It became more decisive sooner, but may reduce tactical diversity."
Fidele Ndihokubwayo,Exp05_HighGamma_Balanced,CnnPolicy,0.0002,0.995,64,1.0,0.01,0.15,-7.6,-4.51,0,0.0,42,Designed to improve long-term positioning and pressure while keeping learning stable.,Higher gamma underperformed the baseline. It likely valued longer-term positioning and pressure more strongly.
Fidele Ndihokubwayo,Exp04_MLPTuned_Comparison,MlpPolicy,0.0002,0.99,64,1.0,0.02,0.15,-12.6,-17.95,0,0.0,42,Tuned MLP comparison run to strengthen the CNN vs MLP architecture analysis.,"MLP comparison run underperformed the baseline. It is useful for architecture comparison, but CNN remains the stronger image-based choice for Boxing."
